site;Total;Nb_dif_Sp;Margalef_Index
5329813_A11U;960;42;144.37
5378566_019U;1030;40;154.91
5404803_072U;1580;43;237.71
5404823_020U;1186;38;178.39
5412295_A88U;2200;48;331.05
5464802_142U;9010;54;1356.25
5464847_005U;1658;42;249.45
5472306_063H;188;14;28.15
5472306_063U;4656;56;700.78
5491074_022U;2884;39;434.02
5494805_090U;1492;47;224.46
5506056_112U;1836;44;276.25
5509805_089U;1176;37;176.89
5517308_073U;1812;54;272.63
5581062_093U;2708;51;407.52
5588562_114U;2574;41;387.35
5652332_024U;1886;51;283.77
5746079_065U;1780;51;267.82
5749822_117U;2852;62;429.2
5772321_118U;4238;39;637.85
5787324_094U;4794;62;721.56
5806084_044U;1096;38;164.85
5806100_027U;2372;43;356.94
5813612_007U;970;34;145.88
5881118_006U;948;33;142.56
5993590_205U;1990;34;299.43
6023591_206U;328;28;49.23
6061094_218U;1238;35;186.22
6076099_194U;1138;38;171.17
6158603_219H;220;21;32.97
6158603_219U;507;30;76.18
6203608_B18U;1310;49;197.06
6211108_221U;2850;50;428.9
6248610_201U;2926;57;440.34
6304865_202U;2074;43;312.08
6316116_197U;1792;36;269.62
6346118_212H;208;16;31.16
6346118_212U;175;21;26.19
6357369_214U;2350;44;353.63
6357369_215U;586;28;88.07
6361119_234U;1232;37;185.32
6364868_235U;3610;49;543.31
6376119_239U;2356;52;354.53
6447376_223U;1164;34;175.08
6466154_160H;615;34;92.43
6522384_198U;1488;34;223.86
6526136_199U;1122;33;168.76
6537387_200U;1114;35;167.56
6586138_224U;2252;44;338.87
6634895_226U;962;33;144.67
6638645_183U;1472;43;221.45
6638653_191U;806;29;121.19
6638653_192U;910;40;136.84
6739937_A96U;986;34;148.29
6751188_171U;678;35;101.92
6766164_186U;1098;42;165.15
6803661_245U;3234;55;486.71
6807414_228U;6698;61;1008.19
6953677_250U;2054;29;309.07
6957427_251U;805;30;121.04
7009937_242U;3140;46;472.56
7032446_233U;3718;46;559.57
7073736_252U;3407;49;512.75
7077485_253U;3312;41;498.45
7212475_409U;3790;48;570.41
7257484_411U;1550;47;233.19
7279990_378U;1052;44;158.22
7287492_379U;1184;35;178.09
7291269_258U;1040;37;156.41
7321253_309U;1314;30;197.66
7385013_328U;1412;36;212.42
7403798_254U;1206;23;181.41
7426301_255U;371;25;55.7
7441269_430U;3316;41;499.05
7456275_381U;1650;41;248.25
7475028_382U;558;20;83.85
7497534_369U;353;22;52.99
7516287_383U;1992;44;299.73
7523788_384U;3492;44;525.55
7565045_C17U;514;34;77.23
7583801_326U;1164;35;175.08
7598799_427U;2278;40;342.79
7606302_413U;5898;50;887.76
7655076_284U;2124;34;319.6
7666321_350U;334;12;50.13
7666321_351U;534;14;80.24
7670070_360U;570;30;85.66
7677568_359U;914;42;137.45
7677570_352U;508;27;76.33
7677570_362U;758;32;113.96
7707598_262U;490;25;73.62
7711341_311U;718;28;107.94
7737579_425U;382;28;57.36
7737582_356U;1170;38;175.99
7748832_377U;1708;56;256.98
7752584_343U;900;38;135.34
7763844_291U;1616;42;243.13
7767593_B59U;2626;45;395.18
7786343_364U;3008;46;452.68
7786347_355U;946;15;142.26
7790095_374U;3290;42;495.14
7793844_375U;1616;55;243.13
7797595_416U;1746;37;262.7
7797599_312U;968;37;145.58
7805099_365U;310;35;46.52
